proba_threshold,full_marketing_profit,LogisticRegression_marketing_profit,LogisticRegression_precision,LogisticRegression_recall,LogisticRegression_f1,LogisticRegression_auc,RandomForestClassifier_marketing_profit,RandomForestClassifier_precision,RandomForestClassifier_recall,RandomForestClassifier_f1,RandomForestClassifier_auc,XGBClassifier_marketing_profit,XGBClassifier_precision,XGBClassifier_recall,XGBClassifier_f1,XGBClassifier_auc
0.0,23840.0,23840.0,0.1543660448769938,1.0,0.26744730679156914,0.5,23840.0,0.1543660448769938,1.0,0.26744730679156914,0.5,23840.0,0.1543660448769938,1.0,0.26744730679156914,0.5
0.01,23840.0,25600.0,0.15528963829208595,1.0,0.2688323917137477,0.5035166240409208,98000.0,0.20679576178297407,0.9912434325744308,0.3422007255139057,0.6485948620672666,154080.0,0.2885124404446797,0.9544658493870403,0.44308943089430897,0.7623991651027272
0.02,23840.0,39760.0,0.16314285714285715,1.0,0.28052075657086706,0.531809462915601,124720.0,0.23690878378378377,0.9824868651488616,0.3817625042531473,0.7024007215769883,174400.0,0.3427471116816431,0.9352014010507881,0.5016439643024894,0.803917836075266
0.03,23840.0,41600.0,0.1642220304860512,1.0,0.2821146245059289,0.5354859335038363,140240.0,0.25993454885460493,0.9737302977232924,0.4103321033210332,0.7338280644626692,180560.0,0.371367824238129,0.9176882661996497,0.5287588294651867,0.8170602456317941
0.04,23840.0,45520.0,0.16656942823803966,1.0,0.28557139284821204,0.5433184143222507,152320.0,0.2806484295845998,0.9702276707530648,0.43536345776031427,0.7581317381898316,186560.0,0.3961977186311787,0.9124343257443083,0.552492046659597,0.8292990043043791
0.05,23840.0,49760.0,0.1691851851851852,1.0,0.28940699442473394,0.5517902813299232,160480.0,0.2982646420824295,0.9632224168126094,0.4554865424430642,0.7747697761812409,188800.0,0.41365461847389556,0.9019264448336253,0.5671806167400881,0.8342752428771707
0.06,23840.0,52640.0,0.1710092842168314,1.0,0.29207161125319697,0.5575447570332481,167200.0,0.3131774101540217,0.9614711033274956,0.472461273666093,0.788280308696996,190240.0,0.4312393887945671,0.8896672504378283,0.5809033733562036,0.8377364385181469
0.07,23840.0,60720.0,0.176343421865349,1.0,0.2998162247309005,0.5736892583120204,172560.0,0.32870928829915563,0.9544658493870403,0.4890085240017945,0.7993237175323947,189040.0,0.4397537379067722,0.8756567425569177,0.585480093676815,0.8360061206390726
0.08,23840.0,63040.0,0.1779370520411343,1.0,0.3021164021164021,0.5783248081841432,178080.0,0.3438685208596713,0.9527145359019265,0.505341384115188,0.8104365518384312,192080.0,0.4589861751152074,0.87215411558669,0.6014492753623188,0.8422471345196878
0.09,23840.0,66960.0,0.18069620253164556,1.0,0.3060841597426963,0.5861572890025575,179120.0,0.35426305353602117,0.9387040280210157,0.5143953934740882,0.8131819372841651,191360.0,0.467680608365019,0.861646234676007,0.6062846580406654,0.8413090508418398
