feature,LogisticRegression_importance,RandomForestClassifier_importance
Administrative,0.07705087588356174,0.0733396379773884
Administrative_Duration,-0.047594848504562415,0.05085950234513129
ProductRelated,0.06973673331269459,0.0757056923181214
ProductRelated_Duration,0.14087760212415268,0.09280049867806522
BounceRates,0.018999348661369098,0.05339005626466662
ExitRates,-0.5487574311811692,0.1036524667720792
PageValues,10.336944266635268,0.44850069362604716
SpecialDay,-0.15404663127566975,0.004600337713680076
TrafficType,-0.034611519796721724,0.05680327228986542
Month_Nov,0.6387956036855051,0.04034784201495529
